test_id,D,guard_us,points_required_per_side,window_us,fs_adc_Hz,adc_interval_s,mean_points_pre,mean_points_post,worst_points_pre,worst_points_post,worst_phase_available_points,designed_phase_max_points,phase_feasible_fraction,mean_feasible,phase95_feasible,phase100_feasible,designed_phase_feasible,duty_on_margin_us,duty_off_margin_us,A1_window_span_feasible
1,0.25,0.2,3,1,400000,2.5e-06,0.390625,0.390625,0,0,0,0,0,0,0,0,0,3.8,13.8,0
2,0.25,0.2,3,1,600000,1.66666666666667e-06,0.609375,0.609375,0,0,0,1,0,0,0,0,0,3.8,13.8,0
3,0.25,0.2,3,1,800000,1.25e-06,0.796875,0.796875,0,0,0,1,0,0,0,0,0,3.8,13.8,0
4,0.25,0.2,3,1,1000000,1e-06,1,1,1,1,1,1,0,0,0,0,0,3.8,13.8,0
5,0.25,0.2,3,1,1250000,8e-07,1.015625,1.015625,1,1,1,1,0,0,0,0,0,3.8,13.8,0
6,0.25,0.2,3,1,1600000,6.25e-07,1.59375,1.59375,1,1,1,2,0,0,0,0,0,3.8,13.8,0
7,0.25,0.2,3,1,2000000,5e-07,2,2,2,2,2,2,0,0,0,0,0,3.8,13.8,1
8,0.25,0.2,3,1,2500000,4e-07,2.03125,2.03125,2,2,2,3,0.03125,0,0,0,1,3.8,13.8,1
9,0.25,0.2,3,1,3200000,3.125e-07,3.203125,3.203125,3,3,3,3,1,1,1,1,1,3.8,13.8,1
10,0.25,0.2,3,1,5000000,2e-07,5.015625,5.015625,5,5,5,6,1,1,1,1,1,3.8,13.8,1
11,0.25,0.2,3,1,10000000,1e-07,10.015625,10.015625,10,10,10,11,1,1,1,1,1,3.8,13.8,1
12,0.25,0.2,3,1.5,400000,2.5e-06,0.59375,0.59375,0,0,0,1,0,0,0,0,0,3.3,13.3,0
13,0.25,0.2,3,1.5,600000,1.66666666666667e-06,0.90625,0.90625,0,0,0,1,0,0,0,0,0,3.3,13.3,0
14,0.25,0.2,3,1.5,800000,1.25e-06,1.203125,1.203125,1,1,1,1,0,0,0,0,0,3.3,13.3,0
15,0.25,0.2,3,1.5,1000000,1e-06,1.5,1.5,1,1,1,2,0,0,0,0,0,3.3,13.3,0
16,0.25,0.2,3,1.5,1250000,8e-07,1.78125,1.78125,1,1,1,2,0,0,0,0,0,3.3,13.3,0
17,0.25,0.2,3,1.5,1600000,6.25e-07,2.40625,2.40625,2,2,2,3,0.359375,0,0,0,1,3.3,13.3,1
18,0.25,0.2,3,1.5,2000000,5e-07,3,3,3,3,3,3,1,1,1,1,1,3.3,13.3,1
