test_id,Vin_V,D,load_fraction,Rload_Ohm,is_CCM,minimum_inductor_current_A,C_pseudo_count,median_abs_q_C,median_R_C_V2,median_C_information,total_C_information,CRLB_C_F,CRLB_C_percent,alias_ratio_dB
1,24,0.25,0.25,40,0,-0.112927829194716,142,3.61158159761957e-07,0.000200547950051149,0.0690833547301306,34.8517370855437,1.69390006789826e-05,16.9390006789826,-40.3755281741971
2,24,0.25,0.5,20,0,-0.0472854704729903,142,6.50728618295562e-07,0.000200547895698086,0.235427720907099,70.9688403475519,1.18704216439365e-05,11.8704216439365,-40.3929011551753
3,24,0.25,1,10,1,0.0839054475661139,142,1.23010605020217e-06,0.000200547895698086,0.869964144444982,187.118314898617,7.31041195816292e-06,7.31041195816292,-40.4314775971034
4,24,0.35,0.25,40,0,-0.0948983696535358,142,9.52643625543599e-07,0.000200601386532885,0.452483098676386,118.596949267785,9.18254871874899e-06,9.18254871874899,-38.9839031139285
5,24,0.35,0.5,20,1,0.0781264830953392,142,1.69842069123371e-06,0.000200601386532885,1.44159578719198,296.905216054167,5.803514666393e-06,5.803514666393,-38.6711770336159
6,24,0.35,1,10,1,0.422902273829241,142,3.23547722590986e-06,0.00020060104491625,5.27382692060724,910.610678927989,3.31385598295639e-06,3.31385598295639,-37.4176189666305
7,24,0.4,0.25,40,0,-0.0519829810864554,142,1.34505226215e-06,0.00020062649421124,0.901905711704833,199.009942225899,7.08863497488239e-06,7.08863497488239,-40.6521185987962
8,24,0.4,0.5,20,1,0.210621035715998,142,2.36687266346226e-06,0.000200626366950858,2.79300039780786,530.902377741756,4.34002933301358e-06,4.34002933301358,-39.4703630529516
9,24,0.4,1,10,1,0.734338158168624,142,4.52300297550926e-06,0.000200626494065716,10.2362272322393,1696.0278330405,2.42819473143414e-06,2.42819473143414,-37.3814112157128
10,24,0.45,0.25,40,1,0.0679713482306716,142,1.97552452887769e-06,0.000200668813798404,1.94526176318368,354.928511813046,5.30798339929329e-06,5.30798339929329,-40.0083105621724
11,24,0.45,0.5,20,1,0.460141471094157,142,3.46909285114823e-06,0.000200668964342561,5.99714334388593,1008.20235159184,3.14938784468804e-06,3.14938784468804,-40.1592776213664
12,24,0.45,1,10,1,1.24239931999364,142,6.55246051728083e-06,0.000200668815544687,21.4044383345878,3344.75530223397,1.72909089763155e-06,1.72909089763155,-38.1910267701853
13,24,0.55,0.25,40,1,0.479968257957209,142,3.58934920271607e-06,0.000200742864107303,6.41831534127171,898.358715584931,3.33637691236569e-06,3.33637691236569,-39.2738106927152
14,24,0.55,0.5,20,1,1.20507093287004,142,6.35767910276948e-06,0.00020074304623008,20.1379137929211,2877.46395281472,1.86421094794457e-06,1.86421094794457,-39.4989467167031
15,24,0.55,1,10,1,2.6417635656556,142,1.20578088044555e-05,0.000200743163839539,72.4333002439157,10243.7098072147,9.88032809851214e-07,0.988032809851214,-38.1959660663999
16,24,0.65,0.25,40,1,0.748975439087576,142,5.26456092164498e-06,0.000200796920327658,13.8088253294582,2146.23972346737,2.15854389989334e-06,2.15854389989334,-39.3825430978977
17,24,0.65,0.5,20,1,1.83620483098753,142,1.00845654993514e-05,0.000200796893114746,50.8961547039163,7688.44746982493,1.14046161932171e-06,1.14046161932171,-39.6745169451865
18,24,0.65,1,10,1,3.9957487714299,142,1.60132295719851e-05,0.000200674465643719,145.677790571105,22089.2267029042,6.72836811065829e-07,0.672836811065829,-36.5842432860635
