operating_case,Vin_V,D,Rload_Ohm,ESL_nH,jitter_rms_ns,absolute_voltage_delay_ns,seed_count,pass_probability,C_MAPE_mean_percent,C_MAPE_p95_percent,ESR_MAPE_mean_percent,ESR_MAPE_p95_percent,NEES_param_mean,CI_C_95_coverage,CI_ESR_95_coverage,meets_95_percent_boundary
nominal,24,0.4,10,1,0,0,20,1,0.397049495052025,0.935806685969426,0.387970419349611,0.764213013278225,1.6765462569725,1,1,1
nominal,24,0.4,10,1,0,50,20,1,0.408189566520512,0.896679639521158,0.923256654209758,1.68957217128919,4.1300604881423,1,0.7,1
nominal,24,0.4,10,1,0,100,20,1,0.782805380636852,1.4460137477693,1.98436266350807,2.82889455997049,12.1028419554948,1,0.05,1
nominal,24,0.4,10,1,0,150,20,0.55,2.02859176043383,4.33386337737058,2.86344211522274,4.01988001060003,22.2191315759911,0.5,0,0
nominal,24,0.4,10,1,0,200,20,0.45,3.51562971122638,7.21875829894201,3.44678470815622,4.99722996729047,48.5880821555837,0.5,0,0
nominal,24,0.4,10,1,0,250,20,0,5.03333689744723,11.2486043562748,4.03844121965061,6.05455352368212,86.1007786630863,0.5,0,0
nominal,24,0.4,10,1,0,300,20,0,5.2945542604165,11.6175299873278,5.05900359524362,7.31147858124804,107.260694188585,0.5,0,0
nominal,24,0.4,10,1,0,400,20,0,3.75374977365752,10.8948095524349,9.28528492382037,10.1092766065322,187.557459695214,0.55,0,0
nominal,24,0.4,10,1,0,500,20,0,2.89976312172855,5.96110285116711,20.8355496912663,30.6633056897092,318.322958585102,0.5,0,0
nominal,24,0.4,10,1,20,0,20,1,0.35851629483355,1.01232720293953,0.41548908501306,0.798098494940469,1.66801626994273,1,1,1
nominal,24,0.4,10,1,20,50,20,1,0.432851908556344,0.957447817206714,0.864575069501443,1.75196018298966,4.22600431275358,1,0.9,1
nominal,24,0.4,10,1,20,100,20,1,0.906465647251644,1.86785204146365,1.93999542480802,2.88384729192623,12.2757613618723,0.95,0.15,1
nominal,24,0.4,10,1,20,150,20,0.5,2.12734440226525,4.40960935770226,2.82144633531129,4.06525362410841,22.5287191356241,0.5,0,0
nominal,24,0.4,10,1,20,200,20,0.45,3.42377862447356,7.04747613984936,3.38535849604444,5.00364843366557,46.7124160075632,0.5,0,0
nominal,24,0.4,10,1,20,250,20,0,4.86053306441425,10.4828719260444,4.03550357590428,6.00494485462795,83.3221387065063,0.5,0,0
nominal,24,0.4,10,1,20,300,20,0,4.48223353786189,10.92440073198,5.21723242078432,7.27886068837141,98.3555938431445,0.5,0,0
nominal,24,0.4,10,1,20,400,20,0,1.50184153756132,3.85547887587157,9.06630471077183,9.65072544013568,145.243636027077,0.65,0,0
nominal,24,0.4,10,1,20,500,20,0,2.8129691669084,6.16540183561009,20.0588784820141,29.9777872324034,304.803126070543,0.5,0,0
nominal,24,0.4,10,1,50,0,20,1,0.225670115645318,0.801892277625627,0.463147583532393,0.892090030059312,1.66064815669249,1,1,1
nominal,24,0.4,10,1,50,50,20,1,0.596421099585635,1.47432515661352,0.833453498817368,1.83147832309205,4.44503921771681,1,0.85,1
nominal,24,0.4,10,1,50,100,20,1,1.0180623061571,2.04596333723434,1.95777903370779,3.16066467769269,12.2353278441853,0.85,0.25,1
nominal,24,0.4,10,1,50,150,20,0.55,2.28459508488834,4.8189912325129,2.74994773869801,4.10173001432396,23.4308781182546,0.5,0.05,0
nominal,24,0.4,10,1,50,200,20,0.45,3.32409512019151,6.86888392735125,3.38992009694848,5.04109918782132,42.1691635147464,0.5,0,0
nominal,24,0.4,10,1,50,250,20,0,4.47775852803653,9.57250571164271,4.0995998393505,5.96548100240325,73.7897150141436,0.5,0,0
nominal,24,0.4,10,1,50,300,20,0.05,3.37632677884181,8.64459792416347,5.41877887420104,7.43909799520848,86.3498299318703,0.5,0,0
nominal,24,0.4,10,1,50,400,20,0,0.483354376043253,1.41355978122959,8.64946804180949,9.85464935486455,121.16157087014,1,0,0
nominal,24,0.4,10,1,50,500,20,0,2.54187987221398,5.46659348007515,18.1868734489973,28.0309241351353,266.510898197347,0.5,0,0
high_load,24,0.4,5,1,0,0,20,1,0.196472784157115,0.471986093769849,0.338723789316134,0.525834731929642,2.4075484915004,1,1,1
high_load,24,0.4,5,1,0,50,20,1,0.395656816453637,0.758826067196916,0.921672982986925,1.37440639258032,6.90459986970508,1,0.5,1
high_load,24,0.4,5,1,0,100,20,1,0.892595447185874,1.80914489601582,1.85684099611216,2.56523932463595,17.8737446958613,0.55,0,1
high_load,24,0.4,5,1,0,150,20,0.5,1.80863955946937,3.84002716352669,2.73452811143822,3.80700681052322,39.6631093087623,0.5,0,0
high_load,24,0.4,5,1,0,200,20,0.85,1.49725708625057,8.92605564110174,3.38009289164637,4.80793116333629,63.3134672450776,0.85,0,0
high_load,24,0.4,5,1,0,250,20,0.5,0.411474461797513,1.34132539499539,3.95382993971852,5.72427547303337,70.4370027441395,0.95,0,0
high_load,24,0.4,5,1,0,300,20,0.45,1.15054489418207,8.13220840387414,4.88681584802688,6.95118848639332,108.585360559977,0.95,0,0
high_load,24,0.4,5,1,0,400,20,0,0.267783182434747,0.633856783932008,9.05999271512682,9.45980878475285,223.742256060931,1,0,0
high_load,24,0.4,5,1,0,500,20,0,2.05938755025248,4.42772824893848,20.5084580172511,30.2290394295795,402.406613022838,0.5,0,0
high_load,24,0.4,5,1,20,0,20,1,0.223273692952055,0.553416200512458,0.377425977628787,0.604051726359356,2.19545381061923,1,1,1
high_load,24,0.4,5,1,20,50,20,1,0.368042178959836,0.641795304169379,0.894835472493275,1.42680803983301,6.1128798362965,1,0.5,1
high_load,24,0.4,5,1,20,100,20,1,0.892855018403227,2.01807602831636,1.8756284960187,2.62285840473262,17.9717371386343,0.6,0,1
high_load,24,0.4,5,1,20,150,20,0.55,1.97550437745629,4.31751067015731,2.70616266616943,3.77802744837338,41.2378527907775,0.5,0,0
