fs_adc_Hz,adc_interval_s,guard_us,window_us,points_required_per_side,points_available_per_side,minimum_topology_margin_us,sampling_geometry_feasible,modelB_worst_extrapolation_bias_percent,modelB_median_kR,residual_50ns_inside_guard,selected,locked_guard_us,locked_window_us,locked_points_per_side,trigger_mode
1000000,1e-06,0.2,1.5,3,2,5.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,1.5,4,2,5.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,1.5,5,2,5.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,1.5,6,2,5.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,1.5,8,2,5.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,2,3,3,4.8,1,1.15065016976982,1.00022036148803,1,1,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,2,4,3,4.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,2,5,3,4.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,2,6,3,4.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,2,8,3,4.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,2.5,3,3,4.3,1,1.15065016976982,1.00022036148803,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,2.5,4,3,4.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,2.5,5,3,4.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,2.5,6,3,4.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,2.5,8,3,4.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,3,3,4,3.8,1,1.40494187445643,1.00044671868738,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,3,4,4,3.8,1,1.40494187445643,1.00044671868738,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,3,5,4,3.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,3,6,4,3.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,3,8,4,3.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,4,3,5,2.8,1,2.10737361413071,1.00076043522552,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,4,4,5,2.8,1,2.10737361413071,1.00076043522552,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,4,5,5,2.8,1,2.10737361413071,1.00076043522552,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,4,6,5,2.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,4,8,5,2.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,5,3,6,1.8,1,3.00424121146347,1.00116167455835,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,5,4,6,1.8,1,3.00424121146347,1.00116167455835,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,5,5,6,1.8,1,3.00424121146347,1.00116167455835,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,5,6,6,1.8,1,3.00424121146347,1.00116167455835,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.2,5,8,6,1.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,1.5,3,2,5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,1.5,4,2,5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,1.5,5,2,5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,1.5,6,2,5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,1.5,8,2,5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,2,3,3,4.5,1,1.37207602145997,1.00043172594621,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,2,4,3,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,2,5,3,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,2,6,3,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,2,8,3,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,2.5,3,3,4,1,1.37207602145997,1.00043172594621,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,2.5,4,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,2.5,5,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,2.5,6,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,2.5,8,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,3,3,4,3.5,1,2.05525435332305,1.00073658346325,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,3,4,4,3.5,1,2.05525435332305,1.00073658346325,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,3,5,4,3.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,3,6,4,3.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,3,8,4,3.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,4,3,5,2.5,1,2.93296355973279,1.00112891558626,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,4,4,5,2.5,1,2.93296355973279,1.00112891558626,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,4,5,5,2.5,1,2.93296355973279,1.00112891558626,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,4,6,5,2.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,4,8,5,2.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,5,3,6,1.5,1,4.00489508119835,1.00160888475839,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,5,4,6,1.5,1,4.00489508119835,1.00160888475839,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,5,5,6,1.5,1,4.00489508119835,1.00160888475839,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,5,6,6,1.5,1,4.00489508119835,1.00160888475839,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.5,5,8,6,1.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,1.5,3,2,4.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,1.5,4,2,4.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
