sweep_type,ADC_mode,voltage_architecture,nominal_bits,ENOB,fs_adc_Hz,analog_noise_mV_RMS,calibration_level,quantization_included,offset_residual_LSB,gain_residual_fraction,INL_peak_LSB,DNL_peak_LSB,reference_noise_LSB_RMS,channel_skew_residual_ns,aperture_jitter_ns_RMS,acquisition_settling_fraction,finite_source_impedance_Ohm,AFE_group_delay_ns,datasheet_status,C_MAPE_percent,ESR_MAPE_percent,C_bias_percent,ESR_bias_percent,NIS_C_mean,NIS_R_mean,NEES_mean,CI_C_95_coverage,CI_ESR_95_coverage,accuracy_pass,confidence_pass
ENOB_sweep,native_12bit_highspeed,V2,12,9.5,4000000,2,Cal3,1,0.1,0.0005,1.5,0.75,0.25,20,5,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,16.8642712192639,0.876186434290147,8.47339340970463,0.0628750672774459,1.09429234386406,1.03474880082939,13.1580465566063,0.65625,0.96875,0,0
ENOB_sweep,native_12bit_highspeed,V2,12,10,4000000,2,Cal3,1,0.1,0.0005,1.5,0.75,0.25,20,5,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,16.1425548464547,0.848901172348645,3.51098230022027,-0.115687629254591,1.30204388271062,1.00837258018889,39.3041355023969,0.65625,0.96875,0,0
ENOB_sweep,native_12bit_highspeed,V2,12,10.5,4000000,2,Cal3,1,0.1,0.0005,1.5,0.75,0.25,20,5,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,73.2159412648236,0.842314887788821,60.8580188968706,0.0169930454557043,1.37893231600132,1.03243425829337,81.2432601482315,0.625,0.96875,0,0
ENOB_sweep,native_12bit_highspeed,V2,12,11,4000000,2,Cal3,1,0.1,0.0005,1.5,0.75,0.25,20,5,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,1256.3412797383,0.70316852331073,1250.77858757566,0.254538811505234,1.39342437517843,1.03271190135646,49.6749405943322,0.75,1,0,0
ENOB_sweep,native_12bit_highspeed,V2,12,11.5,4000000,2,Cal3,1,0.1,0.0005,1.5,0.75,0.25,20,5,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,20.6152106620151,0.948496973326338,0.207397205593418,-0.115214450799561,2.11613745565328,1.04057959188739,293.499761783831,0.6875,0.90625,0,0
ENOB_sweep,native_12bit_highspeed,V2,12,12,4000000,2,Cal3,1,0.1,0.0005,1.5,0.75,0.25,20,5,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,155.194835268656,0.804841986545991,145.265240851773,-0.341193656984329,2.24255319014111,1.03022187941764,135.593605840818,0.78125,0.9375,0,0
natural_noise_sweep,native_12bit_highspeed,V2,12,10.5,4000000,0.25,Cal3,1,0.1,0.0005,0,0,0,20,0,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,2.00266846809589,0.255127819802586,0.78271075149916,0.0213693878240662,1.08912237795873,1.08777891465186,0.777734169745463,0.9375,1,1,1
natural_noise_sweep,native_12bit_highspeed,V2,12,10.5,4000000,0.5,Cal3,1,0.1,0.0005,0,0,0,20,0,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,2.40137779859712,0.202416597542191,-0.664312095670627,0.00299799155620839,1.10238018433679,1.05682846000738,1.07138388715089,0.9375,1,1,1
natural_noise_sweep,native_12bit_highspeed,V2,12,10.5,4000000,1,Cal3,1,0.1,0.0005,0,0,0,20,0,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,2.01791752897168,0.259182611085318,-0.624057971484981,0.0370124331147359,1.10962179645608,1.03072066637605,0.775353677369139,1,1,1,1
natural_noise_sweep,native_12bit_highspeed,V2,12,10.5,4000000,2,Cal3,1,0.1,0.0005,0,0,0,20,0,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,2.17664275899568,0.376250714476791,0.238035252152002,-0.0843540741034654,1.10047610976258,1.01660713395837,0.925288078852463,0.96875,1,1,1
natural_noise_sweep,native_12bit_highspeed,V2,12,10.5,4000000,5,Cal3,1,0.1,0.0005,0,0,0,20,0,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,2.58560938319871,0.545539197960383,0.948725557201069,0.00588691685898812,1.09318851502242,0.991796408907403,1.09912872071516,0.96875,1,1,1
natural_noise_sweep,native_12bit_highspeed,V2,12,10.5,4000000,10,Cal3,1,0.1,0.0005,0,0,0,20,0,0.0005,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,2.6341712601011,0.957386580064042,0.746761231678894,0.365764372718269,1.07862262476706,1.00731825897999,1.31188113334385,0.96875,0.96875,1,1
calibration_sweep,native_12bit_highspeed,V2,12,10.5,4000000,2,Cal0,1,2,0.005,1.5,0.75,0.25,120,5,0.004,5000,150,TARGET_DSP_NOT_FIXED_PARAMETER_SWEEP,5.59387737210596,3.642684053194,-2.27205893198614,-3.64268405319401,1.3278860261754,1.08917230682632,3.33638964388481,0.84375,1,0,0
