operating_case,Vin,D,load,C,ESR,i1,i2,I_sum,edge_ESR_signal_mV,charge_C_signal_mV,Q_safe_C,vT_baseline_V,edge_global_min_mV,edge_global_median_mV,edge_global_max_mV,charge_global_min_mV,charge_global_median_mV,charge_global_max_mV
low_CCM_margin,24,0.4,low_CCM,8e-05,0.05,0.237182698312351,0.401686543942838,0.638869242255188,31.9434621127594,33.7544652042231,2.70035721633785e-06,39.8411703854547,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
low_CCM_margin,24,0.4,low_CCM,8e-05,0.075,0.237182698312351,0.401686543942838,0.638869242255188,47.9151931691391,33.7544652042231,2.70035721633785e-06,39.8411703854547,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
low_CCM_margin,24,0.4,low_CCM,8e-05,0.1,0.237182698312351,0.401686543942838,0.638869242255188,63.8869242255188,33.7544652042231,2.70035721633785e-06,39.8411703854547,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
low_CCM_margin,24,0.4,low_CCM,9e-05,0.05,0.237182698312351,0.401686543942838,0.638869242255188,31.9434621127594,30.0039690704206,2.70035721633785e-06,39.8411703854547,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
low_CCM_margin,24,0.4,low_CCM,9e-05,0.075,0.237182698312351,0.401686543942838,0.638869242255188,47.9151931691391,30.0039690704206,2.70035721633785e-06,39.8411703854547,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
low_CCM_margin,24,0.4,low_CCM,9e-05,0.1,0.237182698312351,0.401686543942838,0.638869242255188,63.8869242255188,30.0039690704206,2.70035721633785e-06,39.8411703854547,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
low_CCM_margin,24,0.4,low_CCM,0.0001,0.05,0.237182698312351,0.401686543942838,0.638869242255188,31.9434621127594,27.0035721633785,2.70035721633785e-06,39.8411703854547,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
low_CCM_margin,24,0.4,low_CCM,0.0001,0.075,0.237182698312351,0.401686543942838,0.638869242255188,47.9151931691391,27.0035721633785,2.70035721633785e-06,39.8411703854547,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
low_CCM_margin,24,0.4,low_CCM,0.0001,0.1,0.237182698312351,0.401686543942838,0.638869242255188,63.8869242255188,27.0035721633785,2.70035721633785e-06,39.8411703854547,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
nominal,24,0.4,nominal,8e-05,0.05,0.977579641212274,1.47091888907529,2.44849853028756,122.424926514378,130.597606072699,1.04478084858159e-05,39.8317385273166,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
nominal,24,0.4,nominal,8e-05,0.075,0.977579641212274,1.47091888907529,2.44849853028756,183.637389771567,130.597606072699,1.04478084858159e-05,39.8317385273166,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
nominal,24,0.4,nominal,8e-05,0.1,0.977579641212274,1.47091888907529,2.44849853028756,244.849853028756,130.597606072699,1.04478084858159e-05,39.8317385273166,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
nominal,24,0.4,nominal,9e-05,0.05,0.977579641212274,1.47091888907529,2.44849853028756,122.424926514378,116.08676095351,1.04478084858159e-05,39.8317385273166,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
nominal,24,0.4,nominal,9e-05,0.075,0.977579641212274,1.47091888907529,2.44849853028756,183.637389771567,116.08676095351,1.04478084858159e-05,39.8317385273166,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
nominal,24,0.4,nominal,9e-05,0.1,0.977579641212274,1.47091888907529,2.44849853028756,244.849853028756,116.08676095351,1.04478084858159e-05,39.8317385273166,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
nominal,24,0.4,nominal,0.0001,0.05,0.977579641212274,1.47091888907529,2.44849853028756,122.424926514378,104.478084858159,1.04478084858159e-05,39.8317385273166,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
nominal,24,0.4,nominal,0.0001,0.075,0.977579641212274,1.47091888907529,2.44849853028756,183.637389771567,104.478084858159,1.04478084858159e-05,39.8317385273166,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
nominal,24,0.4,nominal,0.0001,0.1,0.977579641212274,1.47091888907529,2.44849853028756,244.849853028756,104.478084858159,1.04478084858159e-05,39.8317385273166,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
high_load,24,0.4,high,8e-05,0.05,2.0704907292927,3.05672883785741,5.12721956715012,256.360978357506,275.127489992692,2.20101991994153e-05,39.8106183400511,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
high_load,24,0.4,high,8e-05,0.075,2.0704907292927,3.05672883785741,5.12721956715012,384.541467536259,275.127489992692,2.20101991994153e-05,39.8106183400511,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
