voltage_architecture,D,load,load_scale,C_F,ESR_Ohm,AFE_component_tolerance,AFE_highpass_Hz,AFE_lowpass_Hz,kR_raw,kR_after_once_calibration,raw_deviation_percent,calibrated_deviation_percent,one_time_calibration_within_1_percent
V1,0.3,low_CCM,0.5,8e-05,0.05,-0.05,0,1200000,0.85744,0.981052631578947,-14.256,-1.89473684210526,0
V1,0.3,low_CCM,0.5,8e-05,0.05,-0.01,0,1200000,0.89424,0.981818181818182,-10.576,-1.81818181818182,0
V1,0.3,low_CCM,0.5,8e-05,0.05,0.01,0,1200000,0.91264,0.982178217821782,-8.736,-1.78217821782178,0
V1,0.3,low_CCM,0.5,8e-05,0.05,0.05,0,1200000,0.94944,0.982857142857143,-5.05599999999999,-1.71428571428571,0
V1,0.3,low_CCM,0.5,8e-05,0.075,-0.05,0,1200000,0.85951,0.983421052631579,-14.049,-1.6578947368421,0
V1,0.3,low_CCM,0.5,8e-05,0.075,-0.01,0,1200000,0.89631,0.984090909090909,-10.369,-1.5909090909091,0
V1,0.3,low_CCM,0.5,8e-05,0.075,0.01,0,1200000,0.91471,0.984405940594059,-8.529,-1.55940594059406,0
V1,0.3,low_CCM,0.5,8e-05,0.075,0.05,0,1200000,0.95151,0.985,-4.84899999999998,-1.49999999999999,0
V1,0.3,low_CCM,0.5,8e-05,0.1,-0.05,0,1200000,0.86158,0.985789473684211,-13.842,-1.42105263157895,0
V1,0.3,low_CCM,0.5,8e-05,0.1,-0.01,0,1200000,0.89838,0.986363636363636,-10.162,-1.36363636363637,0
V1,0.3,low_CCM,0.5,8e-05,0.1,0.01,0,1200000,0.91678,0.986633663366337,-8.322,-1.33663366336634,0
V1,0.3,low_CCM,0.5,8e-05,0.1,0.05,0,1200000,0.95358,0.987142857142857,-4.642,-1.2857142857143,0
V1,0.3,low_CCM,0.5,9e-05,0.05,-0.05,0,1200000,0.8602,0.984210526315789,-13.98,-1.57894736842106,0
V1,0.3,low_CCM,0.5,9e-05,0.05,-0.01,0,1200000,0.897,0.984848484848485,-10.3,-1.51515151515151,0
V1,0.3,low_CCM,0.5,9e-05,0.05,0.01,0,1200000,0.9154,0.985148514851485,-8.46,-1.48514851485149,0
V1,0.3,low_CCM,0.5,9e-05,0.05,0.05,0,1200000,0.9522,0.985714285714286,-4.77999999999998,-1.42857142857142,0
V1,0.3,low_CCM,0.5,9e-05,0.075,-0.05,0,1200000,0.86227,0.986578947368421,-13.773,-1.3421052631579,0
V1,0.3,low_CCM,0.5,9e-05,0.075,-0.01,0,1200000,0.89907,0.987121212121212,-10.093,-1.28787878787879,0
V1,0.3,low_CCM,0.5,9e-05,0.075,0.01,0,1200000,0.91747,0.987376237623762,-8.253,-1.26237623762376,0
V1,0.3,low_CCM,0.5,9e-05,0.075,0.05,0,1200000,0.95427,0.987857142857143,-4.57299999999999,-1.21428571428571,0
V1,0.3,low_CCM,0.5,9e-05,0.1,-0.05,0,1200000,0.86434,0.988947368421053,-13.566,-1.10526315789474,0
V1,0.3,low_CCM,0.5,9e-05,0.1,-0.01,0,1200000,0.90114,0.989393939393939,-9.886,-1.06060606060606,0
V1,0.3,low_CCM,0.5,9e-05,0.1,0.01,0,1200000,0.91954,0.98960396039604,-8.04599999999999,-1.03960396039603,0
V1,0.3,low_CCM,0.5,9e-05,0.1,0.05,0,1200000,0.95634,0.99,-4.36599999999999,-1,0
V1,0.3,low_CCM,0.5,0.0001,0.05,-0.05,0,1200000,0.86296,0.987368421052632,-13.704,-1.26315789473684,0
V1,0.3,low_CCM,0.5,0.0001,0.05,-0.01,0,1200000,0.89976,0.987878787878788,-10.024,-1.21212121212122,0
V1,0.3,low_CCM,0.5,0.0001,0.05,0.01,0,1200000,0.91816,0.988118811881188,-8.18399999999999,-1.18811881188118,0
V1,0.3,low_CCM,0.5,0.0001,0.05,0.05,0,1200000,0.95496,0.988571428571429,-4.504,-1.14285714285715,0
V1,0.3,low_CCM,0.5,0.0001,0.075,-0.05,0,1200000,0.86503,0.989736842105263,-13.497,-1.02631578947369,0
V1,0.3,low_CCM,0.5,0.0001,0.075,-0.01,0,1200000,0.90183,0.990151515151515,-9.817,-0.984848484848488,1
V1,0.3,low_CCM,0.5,0.0001,0.075,0.01,0,1200000,0.92023,0.990346534653465,-7.97699999999999,-0.965346534653455,1
V1,0.3,low_CCM,0.5,0.0001,0.075,0.05,0,1200000,0.95703,0.990714285714286,-4.29699999999998,-0.928571428571423,1
V1,0.3,low_CCM,0.5,0.0001,0.1,-0.05,0,1200000,0.8671,0.992105263157895,-13.29,-0.789473684210518,1
V1,0.3,low_CCM,0.5,0.0001,0.1,-0.01,0,1200000,0.9039,0.992424242424242,-9.61,-0.757575757575757,1
V1,0.3,low_CCM,0.5,0.0001,0.1,0.01,0,1200000,0.9223,0.992574257425743,-7.77,-0.742574257425743,1
V1,0.3,low_CCM,0.5,0.0001,0.1,0.05,0,1200000,0.9591,0.992857142857143,-4.08999999999999,-0.714285714285712,1
V1,0.3,nominal,1,8e-05,0.05,-0.05,0,1200000,0.8602,0.984210526315789,-13.98,-1.57894736842106,0
V1,0.3,nominal,1,8e-05,0.05,-0.01,0,1200000,0.897,0.984848484848485,-10.3,-1.51515151515151,0
V1,0.3,nominal,1,8e-05,0.05,0.01,0,1200000,0.9154,0.985148514851485,-8.46,-1.48514851485149,0
V1,0.3,nominal,1,8e-05,0.05,0.05,0,1200000,0.9522,0.985714285714286,-4.77999999999998,-1.42857142857142,0
V1,0.3,nominal,1,8e-05,0.075,-0.05,0,1200000,0.86227,0.986578947368421,-13.773,-1.3421052631579,0
V1,0.3,nominal,1,8e-05,0.075,-0.01,0,1200000,0.89907,0.987121212121212,-10.093,-1.28787878787879,0
V1,0.3,nominal,1,8e-05,0.075,0.01,0,1200000,0.91747,0.987376237623762,-8.253,-1.26237623762376,0
V1,0.3,nominal,1,8e-05,0.075,0.05,0,1200000,0.95427,0.987857142857143,-4.57299999999999,-1.21428571428571,0
V1,0.3,nominal,1,8e-05,0.1,-0.05,0,1200000,0.86434,0.988947368421053,-13.566,-1.10526315789474,0
V1,0.3,nominal,1,8e-05,0.1,-0.01,0,1200000,0.90114,0.989393939393939,-9.886,-1.06060606060606,0
V1,0.3,nominal,1,8e-05,0.1,0.01,0,1200000,0.91954,0.98960396039604,-8.04599999999999,-1.03960396039603,0
V1,0.3,nominal,1,8e-05,0.1,0.05,0,1200000,0.95634,0.99,-4.36599999999999,-1,0
V1,0.3,nominal,1,9e-05,0.05,-0.05,0,1200000,0.86296,0.987368421052632,-13.704,-1.26315789473684,0
V1,0.3,nominal,1,9e-05,0.05,-0.01,0,1200000,0.89976,0.987878787878788,-10.024,-1.21212121212122,0
V1,0.3,nominal,1,9e-05,0.05,0.01,0,1200000,0.91816,0.988118811881188,-8.18399999999999,-1.18811881188118,0
V1,0.3,nominal,1,9e-05,0.05,0.05,0,1200000,0.95496,0.988571428571429,-4.504,-1.14285714285715,0
V1,0.3,nominal,1,9e-05,0.075,-0.05,0,1200000,0.86503,0.989736842105263,-13.497,-1.02631578947369,0
V1,0.3,nominal,1,9e-05,0.075,-0.01,0,1200000,0.90183,0.990151515151515,-9.817,-0.984848484848488,1
V1,0.3,nominal,1,9e-05,0.075,0.01,0,1200000,0.92023,0.990346534653465,-7.97699999999999,-0.965346534653455,1
V1,0.3,nominal,1,9e-05,0.075,0.05,0,1200000,0.95703,0.990714285714286,-4.29699999999998,-0.928571428571423,1
V1,0.3,nominal,1,9e-05,0.1,-0.05,0,1200000,0.8671,0.992105263157895,-13.29,-0.789473684210518,1
V1,0.3,nominal,1,9e-05,0.1,-0.01,0,1200000,0.9039,0.992424242424242,-9.61,-0.757575757575757,1
V1,0.3,nominal,1,9e-05,0.1,0.01,0,1200000,0.9223,0.992574257425743,-7.77,-0.742574257425743,1
V1,0.3,nominal,1,9e-05,0.1,0.05,0,1200000,0.9591,0.992857142857143,-4.08999999999999,-0.714285714285712,1
V1,0.3,nominal,1,0.0001,0.05,-0.05,0,1200000,0.86572,0.990526315789474,-13.428,-0.947368421052641,1
V1,0.3,nominal,1,0.0001,0.05,-0.01,0,1200000,0.90252,0.990909090909091,-9.748,-0.909090909090915,1
V1,0.3,nominal,1,0.0001,0.05,0.01,0,1200000,0.92092,0.991089108910891,-7.90799999999998,-0.89108910891087,1
V1,0.3,nominal,1,0.0001,0.05,0.05,0,1200000,0.95772,0.991428571428571,-4.22799999999999,-0.857142857142856,1
V1,0.3,nominal,1,0.0001,0.075,-0.05,0,1200000,0.86779,0.992894736842105,-13.221,-0.710526315789484,1
V1,0.3,nominal,1,0.0001,0.075,-0.01,0,1200000,0.90459,0.993181818181818,-9.541,-0.681818181818183,1
V1,0.3,nominal,1,0.0001,0.075,0.01,0,1200000,0.92299,0.993316831683168,-7.701,-0.668316831683169,1
V1,0.3,nominal,1,0.0001,0.075,0.05,0,1200000,0.95979,0.993571428571429,-4.021,-0.642857142857145,1
V1,0.3,nominal,1,0.0001,0.1,-0.05,0,1200000,0.86986,0.995263157894737,-13.014,-0.473684210526304,1
V1,0.3,nominal,1,0.0001,0.1,-0.01,0,1200000,0.90666,0.995454545454546,-9.33399999999999,-0.454545454545441,1
V1,0.3,nominal,1,0.0001,0.1,0.01,0,1200000,0.92506,0.995544554455446,-7.49399999999999,-0.445544554455435,1
V1,0.3,nominal,1,0.0001,0.1,0.05,0,1200000,0.96186,0.995714285714286,-3.81399999999998,-0.428571428571423,1
V1,0.3,high,2,8e-05,0.05,-0.05,0,1200000,0.86572,0.990526315789474,-13.428,-0.947368421052641,1
