guard_us,window_us,points_per_side,point_timestamp_span_us,full_aperture_span_us,point_timestamp_pass,full_aperture_pass,pipeline_pass,selected,status
0.2,1.5,3,1.83,2.15,0,0,1,0,FAIL
0.2,1.5,4,2.745,3.065,0,0,1,0,FAIL
0.2,1.5,5,3.66,3.98,0,0,1,0,FAIL
0.2,2,3,1.83,2.15,1,0,1,0,POINT_ONLY_FALSE_PASS
0.2,2,4,2.745,3.065,0,0,1,0,FAIL
0.2,2,5,3.66,3.98,0,0,1,0,FAIL
0.2,2.2,3,1.83,2.15,1,1,1,0,PASS
0.2,2.2,4,2.745,3.065,0,0,1,0,FAIL
0.2,2.2,5,3.66,3.98,0,0,1,0,FAIL
0.2,2.5,3,1.83,2.15,1,1,1,0,PASS
0.2,2.5,4,2.745,3.065,0,0,1,0,FAIL
0.2,2.5,5,3.66,3.98,0,0,1,0,FAIL
0.2,3,3,1.83,2.15,1,1,1,0,PASS
0.2,3,4,2.745,3.065,1,0,1,0,POINT_ONLY_FALSE_PASS
0.2,3,5,3.66,3.98,0,0,1,0,FAIL
0.2,3.5,3,1.83,2.15,1,1,1,0,PASS
0.2,3.5,4,2.745,3.065,1,1,1,0,PASS
0.2,3.5,5,3.66,3.98,0,0,1,0,FAIL
0.2,4.2,3,1.83,2.15,1,1,1,0,PASS
0.2,4.2,4,2.745,3.065,1,1,1,0,PASS
0.2,4.2,5,3.66,3.98,1,1,1,0,PASS
0.2,5,3,1.83,2.15,1,1,1,0,PASS
0.2,5,4,2.745,3.065,1,1,1,0,PASS
0.2,5,5,3.66,3.98,1,1,1,0,PASS
0.5,1.5,3,1.83,2.15,0,0,1,0,FAIL
0.5,1.5,4,2.745,3.065,0,0,1,0,FAIL
0.5,1.5,5,3.66,3.98,0,0,1,0,FAIL
0.5,2,3,1.83,2.15,1,0,1,0,POINT_ONLY_FALSE_PASS
0.5,2,4,2.745,3.065,0,0,1,0,FAIL
0.5,2,5,3.66,3.98,0,0,1,0,FAIL
0.5,2.2,3,1.83,2.15,1,1,1,1,PASS
0.5,2.2,4,2.745,3.065,0,0,1,0,FAIL
0.5,2.2,5,3.66,3.98,0,0,1,0,FAIL
0.5,2.5,3,1.83,2.15,1,1,1,0,PASS
0.5,2.5,4,2.745,3.065,0,0,1,0,FAIL
0.5,2.5,5,3.66,3.98,0,0,1,0,FAIL
0.5,3,3,1.83,2.15,1,1,1,0,PASS
0.5,3,4,2.745,3.065,1,0,1,0,POINT_ONLY_FALSE_PASS
0.5,3,5,3.66,3.98,0,0,1,0,FAIL
0.5,3.5,3,1.83,2.15,1,1,1,0,PASS
0.5,3.5,4,2.745,3.065,1,1,1,0,PASS
0.5,3.5,5,3.66,3.98,0,0,1,0,FAIL
0.5,4.2,3,1.83,2.15,1,1,1,0,PASS
0.5,4.2,4,2.745,3.065,1,1,1,0,PASS
0.5,4.2,5,3.66,3.98,1,1,1,0,PASS
0.5,5,3,1.83,2.15,1,1,1,0,PASS
0.5,5,4,2.745,3.065,1,1,1,0,PASS
0.5,5,5,3.66,3.98,1,1,1,0,PASS
0.8,1.5,3,1.83,2.15,0,0,1,0,FAIL
0.8,1.5,4,2.745,3.065,0,0,1,0,FAIL
0.8,1.5,5,3.66,3.98,0,0,1,0,FAIL
0.8,2,3,1.83,2.15,1,0,1,0,POINT_ONLY_FALSE_PASS
0.8,2,4,2.745,3.065,0,0,1,0,FAIL
0.8,2,5,3.66,3.98,0,0,1,0,FAIL
0.8,2.2,3,1.83,2.15,1,1,1,0,PASS
0.8,2.2,4,2.745,3.065,0,0,1,0,FAIL
0.8,2.2,5,3.66,3.98,0,0,1,0,FAIL
0.8,2.5,3,1.83,2.15,1,1,1,0,PASS
0.8,2.5,4,2.745,3.065,0,0,1,0,FAIL
0.8,2.5,5,3.66,3.98,0,0,1,0,FAIL
0.8,3,3,1.83,2.15,1,1,1,0,PASS
0.8,3,4,2.745,3.065,1,0,1,0,POINT_ONLY_FALSE_PASS
0.8,3,5,3.66,3.98,0,0,1,0,FAIL
0.8,3.5,3,1.83,2.15,1,1,1,0,PASS
0.8,3.5,4,2.745,3.065,1,1,1,0,PASS
0.8,3.5,5,3.66,3.98,0,0,1,0,FAIL
0.8,4.2,3,1.83,2.15,1,1,1,0,PASS
0.8,4.2,4,2.745,3.065,1,1,1,0,PASS
0.8,4.2,5,3.66,3.98,1,1,1,0,PASS
0.8,5,3,1.83,2.15,1,1,1,0,PASS
0.8,5,4,2.745,3.065,1,1,1,0,PASS
0.8,5,5,3.66,3.98,1,1,1,0,PASS
1,1.5,3,1.83,2.15,0,0,1,0,FAIL
1,1.5,4,2.745,3.065,0,0,1,0,FAIL
1,1.5,5,3.66,3.98,0,0,1,0,FAIL
1,2,3,1.83,2.15,1,0,1,0,POINT_ONLY_FALSE_PASS
1,2,4,2.745,3.065,0,0,1,0,FAIL
1,2,5,3.66,3.98,0,0,1,0,FAIL
1,2.2,3,1.83,2.15,1,1,1,0,PASS
1,2.2,4,2.745,3.065,0,0,1,0,FAIL
1,2.2,5,3.66,3.98,0,0,1,0,FAIL
1,2.5,3,1.83,2.15,1,1,1,0,PASS
1,2.5,4,2.745,3.065,0,0,1,0,FAIL
1,2.5,5,3.66,3.98,0,0,1,0,FAIL
1,3,3,1.83,2.15,1,1,1,0,PASS
1,3,4,2.745,3.065,1,0,1,0,POINT_ONLY_FALSE_PASS
1,3,5,3.66,3.98,0,0,1,0,FAIL
1,3.5,3,1.83,2.15,1,1,1,0,PASS
1,3.5,4,2.745,3.065,1,1,1,0,PASS
1,3.5,5,3.66,3.98,0,0,1,0,FAIL
1,4.2,3,1.83,2.15,1,1,1,0,PASS
1,4.2,4,2.745,3.065,1,1,1,0,PASS
1,4.2,5,3.66,3.98,1,1,1,0,PASS
1,5,3,1.83,2.15,1,1,1,0,PASS
1,5,4,2.745,3.065,1,1,1,0,PASS
1,5,5,3.66,3.98,1,1,1,0,PASS
