sourceResistanceOhm,acquisitionNs,tauNs,requiredNs,residualLsb,pass
25,320,20.37,192.741062469315,0.000483884225681166,1
25,360,20.37,192.741062469315,6.79093418924284e-05,1
25,400,20.37,192.741062469315,9.53054154590571e-06,1
25,500,20.37,192.741062469315,7.03214345516542e-08,1
25,640,20.37,192.741062469315,7.28192030668756e-11,1
50,320,29.19,276.195955497266,0.0557461575686058,1
50,360,29.19,276.195955497266,0.0141607801182483,1
50,400,29.19,276.195955497266,0.00359715722667686,1
50,500,29.19,276.195955497266,0.000116987651826363,1
50,640,29.19,276.195955497266,9.66479993726459e-07,1
100,320,46.83,443.105741553168,3.46421164387865,0
100,360,46.83,443.105741553168,1.47451889901902,0
100,400,46.83,443.105741553168,0.627619270146544,0
100,500,46.83,443.105741553168,0.0741841431819887,1
100,640,46.83,443.105741553168,0.00373225945310507,1
250,320,99.75,943.835099720873,130.020431175353,0
250,360,99.75,943.835099720873,87.0679714570131,0
250,400,99.75,943.835099720873,58.3049262728201,0
250,500,99.75,943.835099720873,21.3954936510292,0
250,640,99.75,943.835099720873,5.25758371202248,0
